Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Sportschieten,.357,www.sv357.nl,Schietbaan,Jan Rebelstraat 15,1069CA,Amsterdam,Nieuw-West,,
Sportschieten,Buitenveldert SVV,,Schietbaan,Hoofdweg 739,1055SC,Amsterdam,West,,
Sportschieten,C.O.M. N.Holland,,Schietbaan,Papaverweg 14,1032KH,Amsterdam,Noord,,
Sportschieten,Cartouche,,Schietbaan,,,Hoofddorp,Buiten Amsterdam,,
Sportschieten,S.D.S.Nieuw-West,,Schietbaan,Jan Rebelstraat 15,1069CA,Amsterdam,Nieuw-West,,
Sportschieten,Shooting '82,,Schietbaan,Papaverweg 15,1032KE,Amsterdam,Noord,,
Sportschieten,SSV De Vrijheid,www.ssv-devrijheid.nl,Schietbaan,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,
Sportschieten,Superschot,www.superschot.nl,Schietbaan,Lijnbaansgracht 162-1,1016VX,Amsterdam,Centrum,,40531725
Sportschieten,S.S.V. 7.62,nl-nl.facebook.com/pg/svhalfweg,Schietbaan Halfweg,Spaarndammerweg 3,1165MR,Amsterdam,Buiten Amsterdam,,
Sportschieten,Schietsportvereniging Westerpark,www.sv-westerpark.nl,Schietcentrum ,Vredenhofweg 9c,1051LM,Amsterdam,West,,51056143
Sportschieten,Shogun,www.svshogun.nl,Schietcentrum ,Vredenhofweg 9,1051LM,Amsterdam,West,,40534275
Sportschieten,A.S.I. sv,,Schietsportcentrum Westpoint,Amstelveenseweg 1,1054MB,Amsterdam,Zuid,,
Sportschieten,Olympia,,Schietsportcentrum Westpoint,Amstelveenseweg 1,1054MB,Amsterdam,Zuid,,
Sportschieten,Fokker,,Trefcentrum,Lindenlaan,,Amstelveen,Buiten Amsterdam,,
Sportschieten,Werkspoor SV,,Verenigingsgebouw Werkspoor,Oostenburgergracht 73,1018NC,Amsterdam,Oost,,
Sportschieten,H.K. '88,,Westpoint,Vredenhofweg 9,1051LM,Amsterdam,West,,
Sportschieten,Maccabi,,Westpoint,Vredenhofweg 9,1051LM,Amsterdam,West,,
Sportschieten,Magnum One,,Westpoint,Vredenhofweg 9,1051LM,Amsterdam,West,,
Sportschieten,Qua Libra,,Westpoint,Vredenhofweg 9,1051LM,Amsterdam,West,,
Sportschieten,Club Kaliber,www.clubkaliber.com,,Lijnbaansgracht 162-1,1016VX,Amsterdam,Centrum,,34149890
Sportschieten,John Wesley Hardin,,,Papaverweg 15,1032KE,Amsterdam,Noord,,
